title,genres,link
벨벳,TV 드라마·로맨스 TV 드라마,https://www.netflix.com/kr/title/80018046
해빙,미스터리 스릴러 영화,https://www.netflix.com/kr/title/80178977
마다가스카 2,가족 영화 미국 영화 코미디 영화·어린이 & 가족,https://www.netflix.com/kr/title/70099116
서버비콘,미국 영화 코미디,https://www.netflix.com/kr/title/80186472
러브 아일랜드: 미국,리얼리티 TV 미국 TV 프로그램,https://www.netflix.com/kr/title/81340870
저주받은 소녀,TV 프로그램·판타지 도서 원작 TV 프로그램 TV 프로그램·10대 TV 드라마 TV 프로그램·액션 & 어드벤처,https://www.netflix.com/kr/title/80199393
맬컴과 마리,미국 영화 드라마 장르 영화 인디 영화,https://www.netflix.com/kr/title/81344370
아이와 마코토,액션 & 어드벤처 로맨스 영화 음악 & 뮤지컬,https://www.netflix.com/kr/title/70242570
검은 욕망,TV 프로그램·미스터리 TV 프로그램·범죄 TV 프로그램·스릴러,https://www.netflix.com/kr/title/81090319
파괴자들,미국 영화 영화·도서 원작 스릴러 영화,https://www.netflix.com/kr/title/70221488
굿키즈 온 더 블록,TV 드라마·로맨스 TV 프로그램·10대 TV 드라마 TV 프로그램·코미디 미국 TV 프로그램,https://www.netflix.com/kr/title/80117809
여고괴담 여섯번째 이야기: 모교,호러 영화,https://www.netflix.com/kr/title/81489765
드라이빙 미스 데이지,미국 영화 드라마 장르 영화 고전 영화,https://www.netflix.com/kr/title/461590
가구야공주 이야기,가족 영화 드라마 장르 애니메이션 애니메이션 영화 영화·도서 원작 영화·어린이 & 가족,https://www.netflix.com/kr/title/80013552
친구와 연인사이,로맨틱 코미디 미국 영화 로맨스 영화 코미디,https://www.netflix.com/kr/title/70159317
6번째 날,영화·SF 미국 영화 액션 & 어드벤처,https://www.netflix.com/kr/title/60001393
워킹맘 다이어리,TV 프로그램·코미디,https://www.netflix.com/kr/title/80198991
곤지암,호러 영화,https://www.netflix.com/kr/title/80992149
본딩,TV 드라마 TV 프로그램·코미디 미국 TV 프로그램,https://www.netflix.com/kr/title/81004814
블루 미라클,가족 영화 실화 바탕 영화 미국 영화 드라마 장르 영화 영화·어린이 & 가족,https://www.netflix.com/kr/title/81298682
자기 앞의 생,영화·도서 원작 드라마 장르 영화,https://www.netflix.com/kr/title/81046378
간디,실화 바탕 영화 시대물 드라마 장르 영화 고전 영화,https://www.netflix.com/kr/title/60010384
어둠의 여인,호러 영화,https://www.netflix.com/kr/title/80096786
주온극장판1,호러 영화,https://www.netflix.com/kr/title/70001562
왓 / 이프,TV 프로그램·스릴러 TV 드라마 미국 TV 프로그램,https://www.netflix.com/kr/title/80197889
씨스피라시,다큐멘터리 영화 과학 & 자연 다큐멘터리 자연 & 생태 다큐멘터리 미국 영화,https://www.netflix.com/kr/title/81014008
인헤리턴스,미스터리 미국 영화 스릴러 영화,https://www.netflix.com/kr/title/81252675
맨해튼 미스터리,미스터리 미국 영화 코미디 인디 영화,https://www.netflix.com/kr/title/738561
극한직업,액션 & 어드벤처 코미디,https://www.netflix.com/kr/title/81168885
툴리,미국 영화 코미디,https://www.netflix.com/kr/title/80216308
더 랜치,시트콤 TV 드라마 TV 프로그램·코미디 미국 TV 프로그램,https://www.netflix.com/kr/title/80077977
에반 올마이티,가족 영화 미국 영화 코미디 영화·어린이 & 가족,https://www.netflix.com/kr/title/70045274
하이힐,LGBTQ 영화 액션 & 어드벤처,https://www.netflix.com/kr/title/80091303
사마귀,TV 프로그램·미스터리 TV 프로그램·범죄 TV 프로그램·스릴러 TV 드라마,https://www.netflix.com/kr/title/80208337
파르바나: 아프가니스탄의 눈물,가족 영화 영화·도서 원작 영화·어린이 & 가족,https://www.netflix.com/kr/title/80217121
운명의 밤: 무한의 검제,액션 애니메이션 애니메이션 시리즈,https://www.netflix.com/kr/title/80040330
기리 / 하지,TV 프로그램·범죄 TV 드라마,https://www.netflix.com/kr/title/80190519
네 마음에 새겨진 이름,LGBTQ 영화 드라마 장르 영화 로맨스 영화,https://www.netflix.com/kr/title/81287844
채울 수 없는,TV 프로그램·10대 TV 드라마 TV 프로그램·코미디 미국 TV 프로그램,https://www.netflix.com/kr/title/80179905
미드나이트 스카이,영화·SF 미국 영화 영화·도서 원작,https://www.netflix.com/kr/title/80244645
건지 감자껍질파이 북클럽,미국 영화 영화·도서 원작 드라마 장르 영화 로맨스 영화,https://www.netflix.com/kr/title/80223371
은밀한 유혹,미국 영화 영화·도서 원작 드라마 장르 영화 로맨스 영화,https://www.netflix.com/kr/title/60022417
왓 맨 원트,미국 영화 코미디,https://www.netflix.com/kr/title/81010973
인간수업,TV 프로그램·범죄 한국 드라마 TV 프로그램·10대 TV 프로그램·스릴러 TV 드라마,https://www.netflix.com/kr/title/80990668
비트의 승부사들,실존 인물 다큐멘터리 미국 TV 프로그램 음악 & 뮤지컬,https://www.netflix.com/kr/title/80214552
아르나우의 성전,도서 원작 TV 프로그램 시대물 TV 드라마,https://www.netflix.com/kr/title/80150507
큐티스,드라마 장르 영화,https://www.netflix.com/kr/title/81111198
람보 2,미국 영화 액션 & 어드벤처,https://www.netflix.com/kr/title/70017961
나의 문어 선생님,다큐멘터리 영화 과학 & 자연 다큐멘터리 자연 & 생태 다큐멘터리 영화·어린이 & 가족,https://www.netflix.com/kr/title/81045007
우당탕탕 은하안전단,TV 프로그램·키즈 키즈 교육 영화 TV 만화,https://www.netflix.com/kr/title/81503060
